source_code_description,concept_name
Rheumatic aortic valve diseases,Rheumatic disease of aortic valve
Other rheumatic aortic valve diseases,Rheumatic disease of aortic valve
" Rheumatic aortic valve disease, unspecified ",Rheumatic disease of aortic valve
Rheumatic tricuspid valve diseases,Rheumatic disease of tricuspid valve
Tricuspid stenosis,Rheumatic tricuspid valve stenosis
Other tricuspid valve dieases,Tricuspid valve disorder
Disorders of both mitral and aortic valves,Rheumatic disease of mitral AND aortic valves
Disorders of both mitral and tricuspid valves,Disorders of both mitral and tricuspid valves
Disorders of both aortic and tricuspid valves,Disorders of both aortic and tricuspid valves
Other multiple valve diseases,Multiple valve disease
" Multiple valve disease, unspecified ",Multiple valve disease
Rheumatic myocarditis,Rheumatic myocarditis
" Rheumatic diseases of endocardium, valve unspecified ",Rheumatic endocarditis
Other specified rheumatic heart diseases,Rheumatic disease of pulmonary valve
" Hypertension, benign ",Essential hypertension
" Hypertension, malignant ",Essential hypertension
Hypertensive heart disease with congestive heart failure,Hypertensive heart disease with congestive heart failure
Hypertensive renal disease,Hypertensive renal disease
Hypertensive renal disease without renal failure,Hypertensive renal disease
Hypertensive heart and renal disease,Hypertensive heart AND renal disease
Hypertensive heart and renal disease with congestive heart failure,Hypertensive heart and renal disease with congestive heart failure
Hypertensive heart and renal disease with renal failure,Hypertensive heart and renal disease with renal failure
Hypertension secondary to other renal disorders,Renovascular hypertension
" Secondary hypertension, unspecified ",Secondary hypertension
Angina pectoris,Angina pectoris
Unstable angina,Preinfarction syndrome
Angina pectoris with documented spasm,Coronary artery spasm
Other froms of angina pectoris,Angina pectoris
" Angina pectoris, unspecified ",Angina pectoris
Acute myocardial infarction,Acute myocardial infarction
Acute subendocardial myocardial infarction,Acute subendocardial infarction
" Acute subendocardial myocardial infarction, inferior wall ",Acute subendocardial infarction
" Acute subendocardial myocardial infarction, unspecified site ",Acute subendocardial infarction
" Acute myocardial infarction, unspecified ",Acute myocardial infarction
Other diseases of pulmonary vessels,Disorder of pulmonary circulation
Other specified diseases of pulmonary vessels,Disorder of pulmonary circulation
" Disease of pulmonary vessels, unspecified ",Disorder of pulmonary circulation
Acute nonspecific idiopathic pericarditis,Acute idiopathic pericarditis
Infective pericarditis,Infectious pericarditis
Other forms of acute pericarditis,Acute pericarditis
" Acute pericarditis, unspecified ",Acute pericarditis
Chronic adhesive pericarditis,Chronic adhesive pericarditis
Other specified diseases of pericardium,Disorder of pericardium
" Disease of pericardium, unspecified ",Disorder of pericardium
Pericarditis in other infectious and parasitic diseases classified elsewhere,Pericarditis
Pericarditis in other diseases classified elsewhere,Pericarditis
Acute and subacute infective endocarditis,Acute and subacute bacterial endocarditis
" Acute endocarditis, unspecified ",Acute endocarditis
Nonrheumatic mitral valve disorders,Mitral valve disorder
Other nonrheumatic mitral valve disorders,Mitral valve disorder
" Nonrheumatic mitral valve disorder, unspecified ",Mitral valve disorder
Nonrheumatic aortic valve disorders,Aortic valve disorder
Aortic valve stenosis,Aortic valve disorder
Aortic valve insufficiency,Aortic valve regurgitation
Aortic valve stenosis with insufficiency,Aortic valve stenosis with insufficiency
" Aortic valve disorder, unspecified ",Aortic valve disorder
Nonrheumatic tricuspid valve disorders," Tricuspid valve disorder, non-rheumatic "
Nonrheumatic tricuspid valve insufficiency," Tricuspid incompetence, non-rheumatic "
Pulmonary valve disorders,Pulmonary valve disorder
Pulmonary valve stenosis," Pulmonary stenosis, non-rheumatic "
Pulmonary valve stenosis with insufficiency,Pulmonary valve stenosis with insufficiency
Other marginal perforations of tympanic membrane,Marginal perforation of tympanic membrane
" Endocarditis, valve unspecified ",Valvular endocarditis
Mitral valve disorders in diseases classified elsewhere,Mitral valve disorder
Aortic valve disorders in diseases classified elsewhere,Aortic valve disorder
Pulmonary valve disorders in diseases classified elsewhere,Pulmonary valve disorder
Multiple valve disorders in diseases classified elsewhere,Multiple valve disease
" Perforation of tympanic membrane, unspecified ",Perforation of tympanic membrane
Isolated myocarditis,Isolated Fiedler s myocarditis
Acute myringitis,Acute myringitis
" Acute myocarditis, unspecified ",Acute myocarditis
Myocarditis in diseases classified elsewhere,Acute myocarditis associated with another disorder
Other and unspecified acute myringitis,Acute myringitis
Chronic myringitis,Chronic tympanitis
Cardiomyopathy,Cardiomyopathy
Other restrictive cardiomyopathy,Primary restrictive cardiomyopathy
Other hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy
Alcoholic cardiomyopathy,Dilated cardiomyopathy secondary to alcohol
Endomyocardial eosinophilic disease,Primary eosinophilic endomyocardial restrictive cardiomyopathy
Endocardial fibroelastosis,Endocardial fibroelastosis
Other cardiomyopathies,Cardiomyopathy
Left anterior fascicular block,Left anterior fascicular block
Cardiomyopathy in infectious and parasitic diseases classified elsewhere,Cardiomyopathy associated with another disorder
Left posterior fascicular block,Left posterior fascicular block
" Left bundle-branch block, unspecified ",Left bundle branch block
Cardiomyopathy in metabolic diseases,Cardiomyopathy associated with another disorder
Other conduction disorders,Conduction disorder of the heart
Right fascicular block,Right bundle branch block
Cardiomyopathy in nutritional diseases,Cardiomyopathy associated with another disorder
Other specified conduction disorders,Conduction disorder of the heart
" Conduction disorder, unspecified ",Conduction disorder of the heart
Nonspecific intraventricular block,Diffuse intraventricular block
Pre-excitation syndrome,Anomalous atrioventricular excitation
" Paroxysmal tachycardia, unspecified ",Paroxysmal tachycardia
Atrial fibrillation and flutter,Atrial fibrillation and flutter
Atrial fibrillation,Paroxysmal atrial fibrillation
Atrial flutter,Persistent atrial fibrillation
Other cardiac arrhythmias,Conduction disorder of the heart
Ventricular fibrillation,Ventricular fibrillation and flutter
Re-entry ventricular arrhythmia,Re-entry ventricular arrhythmia
Supraventricular tachycardia,Supraventricular tachycardia
Ventricular premature depolarization,Ventricular premature complex
Sick sinus syndrome,Sick sinus syndrome
Other specified cardiac arrhythmias,Conduction disorder of the heart
" Cardiac arrhythmia, unspecified ",Conduction disorder of the heart
Combined systolic congestive and diastolic congestive heart failure,Congestive heart failure
Left ventricular failure,Left heart failure
Myocarditis NOS,Myocarditis
Myocardial degeneration,Myocardial degeneration
Cardiomegaly,Cardiomegaly
Other ill-defined heart diseases,Heart disease
Complications and ill-defined descriptions of heart disease,Heart disease
" Heart disease, unspecified ",Heart disease
Other heart disorders in other infectious and parasitic diseases classified elsewhere,Heart disease
" Rupture of chordae tendineae, NEC ",Rupture of chordae tendineae
Other heart disorders in other diseases classified elsewhere,Heart disease
Subarachnoid hemorrhage from carotid siphon and bifurcation,Subarachnoid hemorrhage from carotid siphon and bifurcation
Subarachnoid hemorrhage from posterior communicating artery,Subarachnoid hemorrhage
Intracerebral hemorrhage in cerebellum,Cerebellar hemorrhage
" Subarachnoid hemorrhage, unspecified ",Subarachnoid hemorrhage
Intracerebral hemorrhage,Cerebral hemorrhage
" Intracerebral hemorrhage, unspecified ",Cerebral hemorrhage
Subdural hemorrhage acute nontraumatic ,Non-traumatic subdural hemorrhage
Nontraumatic extradural hemorrhage,Nontraumatic extradural hemorrhage
" Intracranial hemorrhage nontraumatic , unspecified ",Spontaneous hemorrhage
Cerebral infarction due to thrombosis of precerebral arteries,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to thrombosis of vertebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to thrombosis of basilar artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to thrombosis of other precerebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to thrombosis of unspecified precerebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to embolism of basilar artery,Cerebral infarction due to embolism of precerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to thrombosis of cerebral arteries,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to embolism of carotid artery,Cerebral infarction due to embolism of precerebral arteries
Cerebral infarction due to thrombosis of anterior cerebral artery,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to thrombosis of posterior cerebral artery,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to thrombosis of cerebellar artery,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to embolism of middle cerebral artery,Cerebral infarction due to embolism of cerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of vertebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to embolism of anterior cerebral artery,Cerebral infarction due to embolism of cerebral arteries
Cerebral infarction due to embolism of posterior cerebral artery,Cerebral infarction due to embolism of cerebral arteries
Cerebral infarction due to embolism of unspecified cerebral arteries,Cerebral infarction due to embolism of cerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of middle cerebral artery,Cerebral infarction due to thrombosis of cerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of other precerebral artery,Cerebral infarct due to thrombosis of precerebral arteries
Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery,Cerebral infarction due to thrombosis of cerebral arteries
" Cerebral infarction due to cerebral venous thrombosis, nonpyogenic "," Cerebral infarction due to cerebral venous thrombosis, non-pyogenic "
Occlusion and stenosis of basilar artery,Basilar artery occlusion
Other cerebral infarction,Cerebral infarction
" Cerebral infarction, unspecified ",Cerebral infarction
" Stroke, not specified as hemorrhage or infarction ",Cerebrovascular accident
" Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction ",Stenosis of precerebral artery
Occlusion and stenosis of multiple and bilateral precerebral arteries,Stenosis of precerebral artery
Occlusion and stenosis of posterior cerebral artery,Occlusion and stenosis of posterior cerebral artery
Occlusion and stenosis of cerebellar arteries,Occlusion and stenosis of cerebellar arteries
Occlusion and stenosis of multiple and bilateral cerebral arteries,Occlusion and stenosis of multiple and bilateral cerebral arteries
Occlusion and stenosis of unspecified precerebral artery,Stenosis of precerebral artery
Progressive vascular leukoencephalopathy,Progressive multifocal leukoencephalopathy
Hypertensive encephalopathy,Hypertensive encephalopathy
Moyamoya disease,Moyamoya disease
" Cerebral arteritis, NEC ",Cerebral arteritis
" Cerebrovascular disease, unspecified ",Cerebrovascular disease
Cerebral amyloid angiopathy E85.- ,Cerebral amyloid angiopathy
Cerebral arteritis in infectious and parasitic diseases classified elsewhere,Cerebral arteritis due to infectious disease
" Sequelae of subarachnoid hemorrhage, Aphasia ",Sequelae of subarachnoid hemorrhage
" Sequelae of subarachnoid hemorrhage, Ataxia ",Sequelae of subarachnoid hemorrhage
" Sequelae of subarachnoid hemorrhage, Other late effects ",Sequelae of subarachnoid hemorrhage
" Sequelae of subarachnoid hemorrhage, Dysphasia ",Sequelae of subarachnoid hemorrhage
" Sequelae of subarachnoid hemorrhage, Unspecified late effects ",Sequelae of subarachnoid hemorrhage
Sequelae of intracerebral hemorrhage,Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Cognitive deficits ",Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Aphasia ",Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Dysphasia ",Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Apraxia ",Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Monoplegia of upper limb ",Sequelae of intracerebral hemorrhage
" Sequelae of intracerebral hemorrhage, Monoplegia of lower limb ",Sequelae of intracerebral hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Dysphasia ",Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Other paralytic syndrome ",Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Apraxia ",Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Dysphagia ",Sequelae of subarachnoid hemorrhage
" Sequelae of intracerebral hemorrhage, Unspecified late effects ",Sequelae of intracerebral hemorrhage
Sequelae of other nontraumatic intracranial hemorrhage,Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Other late effects ",Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Unspecified late effects ",Sequelae of subarachnoid hemorrhage
" Sequelae of other nontraumatic intracranial hemorrhage, Cognitive deficits ",Sequelae of subarachnoid hemorrhage
Sequelae of cerebral infarction,Sequelae of cerebral infarction
" Sequelae of cerebral infarction, Cognitive deficits ",Sequelae of cerebral infarction
" Sequelae of cerebral infarction, Aphasia ",Sequelae of cerebral infarction
" Sequelae of cerebral infarction, Dysphasia ",Sequelae of cerebral infarction
" Sequelae of cerebral infarction, Other speech and language deficits ",Sequelae of cerebral infarction
" Sequelae of cerebral infarction, Monoplegia of upper limb ",Sequelae of cerebral infarction
" Sequelae of stroke, not specified as hemorrhage or infarction, Aphasia ",Late effects of cerebrovascular disease
" Sequelae of stroke, not specified as hemorrhage or infarction, Dysphasia ",Late effects of cerebrovascular disease
" Sequelae of stroke, not specified as hemorrhage or infarction, Apraxia ",Late effects of cerebrovascular disease
" Sequelae of stroke, not specified as hemorrhage or infarction, Dysphagia ",Late effects of cerebrovascular disease
" Sequelae of stroke, not specified as hemorrhage or infarction, Ataxia ",Late effects of cerebrovascular disease
Sequelae of other and unspecified cerebrovascular diseases,Late effects of cerebrovascular disease
" cerebrovascular diseases, Cognitive deficits ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Other speech and language deficits ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Monoplegia of lower limb ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Hemiplegia and hemiparesis ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Apraxia ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Facial weakness ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Ataxia ",Late effects of cerebrovascular disease
" cerebrovascular diseases, Unspecified late effects ",Late effects of cerebrovascular disease
Atherosclerosis of aorta,Atherosclerosis of aorta
" Atherosclerosis of aorta, without gangrene ",Atherosclerosis of aorta
" Atherosclerosis of aorta, with gangrene ",Atherosclerosis of aorta
Atherosclerosis of renal artery,Atherosclerosis of renal artery
" Atherosclerosis of renal artery, with gangrene ",Atherosclerosis of renal artery
Atherosclerosis of arteries of extremities,Atherosclerosis of native arteries of the extremities
Atherosclerosis of arteries of extremities with rest pain,Atherosclerosis of native arteries of the extremities
Atherosclerosis of arteries of extremities with gangrene,Atherosclerosis of native arteries of the extremities
Atherosclerosis of other arteries,Arteriosclerotic vascular disease
Atherosclerosis of celiac artery,Arteriosclerotic vascular disease
" Atherosclerosis of subclavian artery, With gangrene ",Arteriosclerotic vascular disease
Atherosclerosis of axillary artery,Arteriosclerotic vascular disease
" Atherosclerosis of axillary artery, Without gangrene ",Arteriosclerotic vascular disease
Generalized and unspecified atherosclerosis,Generalized atherosclerosis
Generalized atherosclerosis,Generalized atherosclerosis
" Generalized atherosclerosis, Without gangrene ",Generalized atherosclerosis
" Generalized atherosclerosis, With gangrene ",Generalized atherosclerosis
" Unspecified atherosclerosis, Without gangrene ",Generalized atherosclerosis
" Unspecified atherosclerosis, With gangrene ",Generalized atherosclerosis
Aortic aneurysm and dissection,Dissection of aorta
Dissection of aorta any part ,Dissection of aorta
Dissection of thoracoabdominal aorta,Dissection of aorta
" Dissection of aorta, unspecified site ",Dissection of aorta
" Abdominal aortic aneurysm, ruptured ",Ruptured abdominal aortic aneurysm
" Abdominal aortic aneurysm, without mention of rupture ",Abdominal aortic aneurysm without rupture
" Thoracoabdominal aortic aneurysm, without mention of rupture ",Thoracoabdominal aortic aneurysm
" Aortic aneurysm of unspecified site, ruptured ",Ruptured aortic aneurysm
" Aortic aneurysm of unspecified site, without mention of rupture ",Aortic aneurysm
Aneurysm and dissection of iliac artery,Aneurysm of iliac artery
Aneurysm and dissection of artery of lower extremity,Aneurysm of artery of lower extremity
Other peripheral vascular diseases,Peripheral arterial occlusive disease
Thromboangiitis obliterans Buerger ,Thromboangiitis obliterans
Embolism and thrombosis of abdominal aorta,Embolism and thrombosis of the abdominal aorta
Embolism and thrombosis of arteries of lower extremities,Embolism and thrombosis of an arm or leg artery
Embolism and thrombosis of iliac artery,Thrombosis of iliac artery
Other hypotension,Low blood pressure
" Postprocedural disorders of circulatory system, NEC ",Cardiovascular system complication of procedure
Postcardiotomy syndrome,Postcardiotomy syndrome
Other functional disturbances following cardiac surgery,Post cardiac operation functional disturbance
Other disorders of circulatory system in diseases classified elsewhere,Disorder of cardiovascular system
Cardiovascular syphilis,Cardiovascular syphilis
Other specified disorders of circulatory system in diseases classified elsewhere,Disorder of cardiovascular system
Other and unspecified disorders of circulatory system,Disorder of cardiovascular system
Acute nasopharyngitis common cold ,Common cold
Acute sinusitis,Acute sinusitis
Acute frontal sinusitis,Acute frontal sinusitis
Acute ethmoidal sinusitis,Acute ethmoidal sinusitis
" Acute ethmoidal sinusitis, Not specified as recurrent ",Acute ethmoidal sinusitis
" Acute ethmoidal sinusitis, Recurrent ",Acute ethmoidal sinusitis
" Acute sphenoidal sinusitis, Not specified as recurrent ",Acute sphenoidal sinusitis
" Acute sphenoidal sinusitis, Recurrent ",Acute sphenoidal sinusitis
Acute pansinusitis,Acute pansinusitis
" Acute pansinusitis, Not specified as recurrent ",Acute pansinusitis
" Acute pansinusitis, Recurrent ",Acute pansinusitis
Other acute sinusitis,Acute sinusitis
" Acute sinusitis unspercified, Not specified as recurrent ",Acute sinusitis
" Acute sinusitis unspercified, Recurrent ",Acute sinusitis
Streptococcal pharyngitis,Streptococcal sore throat
Acute pharyngitis due to other specified organisms,Acute pharyngitis
" Streptococcal tonsillitis, Not specified as recurrent ",Streptococcal tonsillitis
" Streptococcal tonsillitis, Recurrent ",Streptococcal tonsillitis
Acute tonsillitis due to other specified organisms,Acute tonsillitis
" Acute tonsillitis, unspecified ",Acute tonsillitis
Acute laryngitis and tracheitis,Acute laryngitis and or tracheitis
Acute tracheitis,Acute tracheitis
Acute laryngotracheitis,Acute laryngotracheitis
Acute obstructive laryngitis croup ,Croup
Acute epiglottitis with obstruction,Acute epiglottitis
Acute upper respiratory infections of muitiple and unspecified sites,Acute upper respiratory infection
Acute laryngopharyngitis,Acute laryngopharyngitis
" Influenza with other manifestations, other influenza virus identified ",Influenza with non-respiratory manifestation
" Influenza, virus not identified ",Influenza
" Influenza with pneumonia, virus not identified ",Pneumonia and influenza
" Influenza with other manifestations, virus not indentified ",Influenza with non-respiratory manifestation
Adenoviral pneumonia,Adenoviral pneumonia
Respiratory syncytial virus pneumonia,Pneumonia due to respiratory syncytial virus
Parainfluenza virus pneumonia,Parainfluenza virus pneumonia
Other viral pneumonia,Viral pneumonia
" Viral pneumonia, unspecified ",Viral pneumonia
Pneumonia due to Haemophilus influenzae,Haemophilus influenzae pneumonia
" Bacterial pneumonia, NEC ",Bacterial pneumonia
Pneumonia due to Klebsiella pneumoniae,Pneumonia due to Klebsiella pneumoniae
Pneumonia due to Pseudomonas,Pneumonia due to Pseudomonas
Pneumonia due to staphylococcus,Staphylococcal pneumonia
" Pneumonia due to streptococcus, group B ",Group B streptococcal pneumonia
Other bacterial pneumonia,Bacterial pneumonia
Chlamydial pneumonia,Pneumonia caused by Chlamydiaceae
Pneumonia in viral diseases classified elsewhere,Viral pneumonia
Pneumonia in mycoses,Fungal pneumonia
Pneumonia in other diseases classified elsewhere,Pneumonia
" Other pneumonia, organism unspecified ",Infective pneumonia
Acute bronchitis due to streptococcus,Acute streptococcal bronchitis
Acute bronchitis due to coxsackievirus,Acute coxsackievirus bronchitis
Subsequent myocardial infarction of anterior wall,Subsequent myocardial infarction of anterior wall
Subsequent myocardial infarction of other sites,Subsequent myocardial infarction
Other disorders of arteries and arterioles,Disorder of artery
Stricture of artery,Stricture of artery
Rupture of artery,Rupture of artery
Arterial fibromuscular dysplasia,Fibromuscular hyperplasia of artery
Necrosis of artery,Necrosis of artery
" Arteritis, unspecified ",Arteritis
Other specified disorders of arteries and arterioles,Disorder of artery
" Disorder of arteries and arterioles, unspecified ",Disorder of artery
" Naevus, non-neoplastic ",Non-neoplastic nevus
" Disease of capillaries, unspecified ",Disorder of capillaries
Aortitis in diseases classified elsewhere,Aortitis
Peripheral angiopathy in diseases classified elsewhere,Peripheral arterial occlusive disease
" Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere ",Peripheral arterial occlusive disease
Phlebitis and thrombophlebitis of other deep vessels of lower extremities,Deep vein phlebitis and thrombophlebitis of the leg
" Phlebitis and thrombophlebitis of lower extremities, unspecified ",Thrombophlebitis of lower extremities
Phlebitis and thrombophlebitis of unspecified site,Phlebitis and thrombophlebitis
Other venous embolism and thrombosis,Thromboembolism of vein
Thrombophlebitis migrans,Thrombophlebitis migrans
Embolism and thrombosis of vena cava,Embolism and thrombosis of the vena cava
Embolism and thrombosis of renal vein,Embolism and thrombosis of the renal vein
Embolism and thrombosis of other specified veins,Thromboembolism of vein
Varicose veins of lower extremities with inflammation,Varicose veins of lower extremity with inflammation
Hemorrhoids,Hemorrhoids
Internal thrombosed hemorrhoids,Thrombosed hemorrhoids
Internal hemorrhoids with other complications,Internal hemorrhoids
Ulcerated internal hemorrhoids,Internal hemorrhoids
Internal haemorrhoids with other complications,Internal hemorrhoids
Internal hemorrhoids without complication,Internal hemorrhoids without complication
External thrombosed hemorrhoids,Thrombosed external hemorrhoids
External hemorrhoids with other complications,External hemorrhoids
Prolapsed external hemorrhoids,External hemorrhoids
External haemorrhoids with other complications,External hemorrhoids
External hemorrhoids without complication,External hemorrhoids without complication
Residual hemorrhoidal skin tags,Residual hemorrhoidal skin tags
Unspecified thrombosed hemorrhoids,Thrombosed hemorrhoids
Unspecified hemorrhoids with other complications,Hemorrhoids
Unspecified bleeding haemorrhoids,Hemorrhoids
Unspecified prolapsed haemorrhoids,Hemorrhoids
Esophageal varices with bleeding,Bleeding esophageal varices
" Esophageal varices with bleeding, Idiopathic ",Bleeding esophageal varices
" Esophageal varices with bleeding, Secondary ",Bleeding esophageal varices
Esophageal varices without bleeding,Esophageal varices without bleeding
" Esophageal varices without bleeding, Idiopathic ",Esophageal varices without bleeding
" Esophageal varices without bleeding, Secondary ",Esophageal varices without bleeding
Pelvic varices,Pelvic varices
Varicose veins of other specified sites,Venous varices
Compression of vein,Compression of vein
Other specified disorders of veins,Disorder of vein
" Disorder of vein, unspecified ",Disorder of vein
Acute bronchitis due to rhinovirus,Acute bronchitis due to rhinovirus
Acute bronchitis due to other specified organisms,Acute infective bronchitis
" Acute bronchitis, unspecified ",Acute bronchitis
Acute bronchiolitis due to human metapneumovirus,Bronchiolitis due to Human metapneumovirus
Vasomotor and allergic rhinitis,Allergic rhinitis
Other seasonal allergic rhinitis,Seasonal allergic rhinitis
Other allergic rhinitis,Allergic rhinitis
" Allergic rhinitis, unspecified ",Allergic rhinitis
" Chronic rhinitis, nasopharyngitis and pharyngitis ",Disorder of upper respiratory system
Chronic rhinitis,Chronic rhinitis
Chronic pharyngitis,Chronic pharyngitis
Chronic maxillary sinusitis,Chronic maxillary sinusitis
Chronic frontal sinusitis,Chronic frontal sinusitis
Chronic sphenoidal sinusitis,Chronic sphenoidal sinusitis
Chronic pansinusitis,Chronic pansinusitis
Polypoid sinus degeneration,Polypoid sinus degeneration
Other disorders of nose and nasal sinuses,Disorder of nasal cavity
Cyst and mucocele of nose and nasal sinus,Disorder of nasal cavity
Hypertrophy of nasal turbinates,Hypertrophy of nasal turbinates
Other specified disorders of nose and nasal sinuses,Disorder of nasal cavity
Chronic diseases of tonsils and adenoids,Chronic disease of tonsils AND OR adenoids
Chronic tonsillitis,Chronic tonsillitis
Chronic laryngitis and laryngotracheitis,Chronic laryngitis and laryngotracheitis
" Diseases of vocal cords and larynx, NEC ",Disorder of the larynx
Other diseases of vocal cords,Disorder of vocal cord
Edema of larynx,Edema of larynx
Stenosis of larynx,Stenosis of larynx
Other diseases of larynx,Disorder of the larynx
Other diseases of upper respiratory tract,Disorder of upper respiratory system
" Sequelae of cerebral infarction, Apraxia ",Sequelae of cerebral infarction
Retropharyngeal and parapharyngeal abscess,Retropharyngeal abscess
" Sequelae of cerebral infarction, Facial weakness ",Sequelae of cerebral infarction
Other abscess of pharynx,Abscess of pharynx
Other specified diseases of upper respiratory tract,Disorder of upper respiratory system
" Sequelae of cerebral infarction, Ataxia ",Sequelae of cerebral infarction
" Bronchitis, not specified as acute or chronic ",Bronchitis
" Sequelae of cerebral infarction, Unspecified late effects ",Sequelae of cerebral infarction
Mucopurulent chronic bronchitis,Mucopurulent chronic bronchitis
Predominantly allergic asthma,Allergic asthma
Mixed asthma,Mixed asthma
" Asthma, unspecified ",Asthma
" Emphysema, unspecified ",Pulmonary emphysema
Other chronic obstructive pulmonary diseses,Chronic obstructive lung disease
Pneumoconiosis due to talc dust,Pneumoconiosis due to talc
Pneumoconiosis due to other inorganic dusts,Pneumoconiosis due to inorganic dust
Other specified chronic obstrucitive pulmonary disease,Chronic obstructive lung disease
Pneumoconiosis due to other specified inorganic dusts,Pneumoconiosis due to inorganic dust
Berylliosis,Berylliosis
Unspecified pneumoconiosis,Pneumoconiosis
Graphite fibrosis of lung ,Graphite fibrosis of lung
Hypersensitivity pneumonitis due to organic dust,Extrinsic allergic alveolitis
Farmer s lung,Farmers lung
Byssinosis,Byssinosis
Suberosis,Suberosis
Maple-bark-stripper s lung,Maple-bark strippers lung
Cannabinosis,Cannabinosis
Hypersensitivity pneumonitis due to other organic dusts,Extrinsic allergic alveolitis
Hypersensitivity pneumonitis due to unspecified organic dust,Extrinsic allergic alveolitis
" Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors ",Respiratory condition due to chemical fumes AND OR vapors
" pulmonary edema due to chemicals, gases, fumes and vapors ",Acute pulmonary edema due to fumes AND OR vapors
Pneumonitis due to solids and liquids,Pneumonitis due to inhaled substance
" Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapors ",Respiratory condition due to chemical fumes AND OR vapors
" Chronic respiratory conditions due to chemicals, gases, fumes and vapors ",Chronic respiratory condition due to fumes AND OR vapors
" Other respiratory conditions due to chemicals, gases, fumes and vapors ",Respiratory condition due to chemical fumes AND OR vapors
Chronic drug-induced interstitial lung disorders,Chronic drug-induced interstitial lung disorders
Respiratory conditions due to other specified external agents,Disorder of respiratory system
Respiratory conditions due to unspecified external agents,Disorder of respiratory system
Pneumonitis due to other solids and liquids,Pneumonitis due to inhaled liquid
Adult respiratory distress syndrome,Acute respiratory distress syndrome
Chronic pulmonary oedema,Pulmonary edema
" Pulmonary eosinophilia, NEC ",Asthmatic pulmonary eosinophilia
Chronic and other pulmonary manifestations due to radiation,Chronic pulmonary radiation disease
Acute drug-induced interstitial lung disorders,Acute drug-induced interstitial lung disorder
Other interstitial pulmonary diseases with fibrosis,Fibrosis of lung
Abscess of lung with pneumonia,Abscess of lung with pneumonia
Lymphoid interstitial pneumonia,Fibrosis of lung
Other specified interstitial pulmonary diseases,Interstitial lung disease
" Interstitial pulmonary disease, unspecified ",Interstitial lung disease
Abscess of lung without pneumonia,Abscess of lung
Abscess of lung and mediastinum,Abscess of lung and mediastinum
Pleural plaque with presence of asbestos,Asbestos-induced pleural plaque
Pyothorax,Empyema of pleura
Pleural plaque without asbestos,Pleurisy
Spontaneous tension pneumothorax,Spontaneous tension pneumothorax
Pyothorax with fistula,Empyema with fistula
Other spontaneous pneumothorax,Spontaneous pneumothorax
Pyothorax without fistula,Pleural empyema with no fistula
Other pleural conditions,Pleurisy
" Pleural effusion, NEC ",Pleural effusion
Fibrothorax,Thickening of pleura
Pleural effusion in conditions classified eleswhere,Pleural effusion
Other specified pleural conditions,Pleurisy
