source_code_description,concept_name
Nerve root and plexus compressions in other diseases classified elsewhere,Disorder of nerve root and or plexus
Mononeuropathies of upper limb,Mononeuropathy of upper limb
Lesion of ulnar nerve,Lesion of ulnar nerve
Complex regional pain syndrome type 4256912,Condition
Intercostal neuropathy,Intercostal neuropathy
Mononeuritis multiplex,Mononeuritis multiplex
Other specified mononeuropathies,Mononeuropathy
" Mononeuropathy, unspecified ",Mononeuropathy
Mononeuropathy in diseases classified elsewhere,Mononeuropathy
Other mononeuropathies in diseases classified elsewhere,Mononeuropathy
" Inflammatory polyneuropathy, unspecified ",Polyneuritis
Polyneuropathy due to other toxic agents,Toxic polyneuropathy
Other specified polyneuropathies,Inflammatory and toxic neuropathy
" Polyneuropathy, unspecified ",Polyneuropathy
Polyneuropathy in neoplastic disease C00-D48 ,Paraneoplastic neuropathy
Polyneuropathy in nutritional deficiency E40-E64 ,Polyneuropathy associated with another disorder
Polyneuropathy in systemic connective tissue disorders M30-M35 ,Polyneuropathy in collagen vascular disease
" Polyneuropathy in other musculoskeletal disorders M00-M25 , M40-M96 ",Polyneuropathy associated with another disorder
Polyneruoparthy in other diseases classified elsewhere,Polyneuropathy associated with another disorder
Myasthenia gravis and other myoneural disorders,Myoneural disorder
Myasthenia gravis,Myasthenia gravis
Muscular dystrophy,Muscular dystrophy
Congenital myopathies,Congenital hereditary muscular dystrophy
" Mitochondrial myopathy, NEC ",Mitochondrial myopathy
" Primary disorder of muscle, unspecified ",Disorder of skeletal muscle
Other myopathies,Disorder of muscle
Drug-induced myopathy,Drug-induced myopathy
Alcoholic myopathy,Alcohol myopathy
Periodic paralysis,Periodic paralysis
Other specified myopathies,Disorder of muscle
" Myopathy, unspecified ",Disorder of muscle
Eaton-Lambert syndrome C00-D48 ,Eaton-Lambert syndrome
Myasthenic syndromes in other diseases classified elsewhere,Myasthenic syndrome due to another disorder
Myopathy in endocrine diseases,Endocrine myopathy
Myopathy in metabolic diseases,Metabolic myopathy
Cerebral palsy,Cerebral palsy
Spastic diplegic cerebral palsy,Tetraplegic cerebral palsy
Spastic hemiplegic cerebral palsy,Tetraplegic cerebral palsy
Spastic quadriplegic cerebral palsy,Tetraplegic cerebral palsy
Other spastic cerebral palsy,Tetraplegic cerebral palsy
" Spastic cerebral palsy, unspecified ",Tetraplegic cerebral palsy
Withdrawal state of volatile solvents with delirium,Inhalant dependence
Psychotic disorder due to use of volatile solvents,Inhalant-induced organic mental disorder
Residual and late-onset psychotic disorder due to use of volatile solvents,Inhalant-induced persisting dementia
Other mental and behavioral disorders due to use of volatile solvents,Inhalant-induced organic mental disorder
Hamful use of multiple drug use and use of other psychoactive substances,Drug abuse
" Localization-related focal partial symptomatic epilepsy and epileptic syndromes with simple partial seizures, With intractable epilepsy ",Localization-related focal partial idiopathic epilepsy and epileptic syndromes with seizures of localized onset
Localization-related focal partial symptomatic epilepsy and epileptic syndromes with complex partial seizures,Localization-related focal partial idiopathic epilepsy and epileptic syndromes with seizures of localized onset
" Generalized idiopathic epilepsy and epileptic syndromes, Without intractable epilepsy ",Idiopathic generalized epilepsy
" Generalized idiopathic epilepsy and epileptic syndromes, With intractable epilepsy ",Idiopathic generalized epilepsy
Other generalized epilepsy and epileptic syndromes,Generalized convulsive epilepsy
" Other generalized epilepsy and epileptic syndromes, With intractable epilepsy ",Generalized convulsive epilepsy
Special epileptic syndromes,Epilepsy
" Special epileptic syndromes, With intractable epilepsy ",Epilepsy
Status epilepticus,Status epilepticus
" Migraine, unspecified ",Migraine
Other headache syndromes,Headache disorder
Tension-type headache,Tension-type headache
Chronic post-traumatic headache,Chronic post-traumatic headache
" Drug-induced headache, NEC ",Headache associated with substance abuse or withdrawal
Brain stem stroke syndrome I60-I67 ,Brainstem stroke syndrome
Cerebellar stroke syndrome I60-I67 ,Cerebellar stroke syndrome
Other vascular syndromes of brain in cerebrovascular diseases I60-I67 ,Cerebrovascular disease
Atypical facial pain,Atypical facial pain
" Disorder of trigeminal nerve, unspecified ",Trigeminal nerve disorder
Bell s palsy,Bell s palsy
Disorders of vague nerve,Disorder of vagus nerve
Disorders of multiple cranial nerves,Multiple cranial nerve palsy
Disorders of other specified cranial nerves,Cranial nerve disorder
" Cranial nerve disorder, unspecified ",Cranial nerve disorder
Postzoster neuralgia B02.2 ,Postherpetic neuralgia
Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere A00-B99 ,Multiple cranial nerve lesions and linked syndromes
Multiple cranial nerve palsies in sarcoidosis D86.8 ,Multiple cranial nerve palsies in sarcoidosis
Phantom limb syndrome with pain,Phantom limb
" Nerve root and plexus disorder, unspecified ",Disorder of nervous system
Nerve root and plexus compressions in diseases classified elsewhere,Lesion of nerve root and or plexus
Nerve root and plexus compressions in neoplastic disease C00-D48 ,Nerve root and plexus compressions in neoplastic disease
Nerve root and plexus compressions in intervertebral disc disorders M50-M51 ,Nerve root and plexus compressions in intervertebral disc disorders
Mononeuropathies of lower limb,Mononeuropathy of lower limb
Lesion of sciatic nerve,Sciatic neuropathy
Lesion of femoral nerve,Femoral neuropathy
Lesion of medial popliteal nerve,Tibial nerve lesion
Tarsal tunnel syndrome,Tarsal tunnel syndrome
" Hereditary motor and sensory neuropathy,types ",Hereditary motor and sensory neuropathy
Other cerebral palsy,Cerebral palsy
" Cerebral palsy, unspecified ",Cerebral palsy
Hemiplegia,Hemiplegia
" Flaccid hemiplegia, Right dominant side ",Flaccid hemiplegia
" Flaccid hemiplegia, Right nondominant side ",Flaccid hemiplegia
" Flaccid hemiplegia, Unspecified side ",Flaccid hemiplegia
Spastic hemiplegia,Spastic hemiplegia
" Hemiplegia, unspecified, Right nondominant side ",Hemiplegia
" Hemiplegia, unspecified, Unspecified side ",Hemiplegia
Paraplegia and tetraplegia,Paralytic syndrome
Spastic paraplegia,Spastic paraplegia
Spastic tetraplegia,Spastic paraplegia
" Tetraplegia, unspecified ",Tetraplegia
Diplegia of upper limbs,Diplegia of upper limbs
Monoplegia of upper limb,Monoplegia of upper limb
" Monoplegia, unspecified ",Monoplegia
Cauda equina syndrome,Cauda equina syndrome
Other specified paralytic syndromes,Paralytic syndrome
" Paralytic syndrome, unspecified ",Paralytic syndrome
Idiopathic peripheral autonomic neuropathy,Idiopathic peripheral autonomic neuropathy
Other disorders of autonomic nervous system,Disorder of autonomic nervous system
Hydrocephalus,Hydrocephalus
Normal-pressure hydrocephalus,Normal pressure hydrocephalus
" Post-traumatic hydrocephalus, unspecified ",Post-traumatic hydrocephalus
Other hydrocephalus,Obstructive hydrocephalus
" Hydrocephalus, unspsecified ",Hydrocephalus
Toxic encephalopathy,Toxic encephalopathy
Other disorders of brain,Disorder of brain
" Anoxic brain damage, NEC ",Anoxic encephalopathy
Benign intracranial hypertension,Benign intracranial hypertension
Compression of brain,Compression of brain
Reye s syndrome,Reye s syndrome
Other demyelinating diseases of central nervous system,Demyelinating disease of central nervous system
Other specified disorders of brain,Disorder of brain
Metabolic encephalopathy,Disorder of brain
Hydrocephalus in neoplastic diseases C00-D48 ,Hydrocephalus
Other specified disorders of brain,Disorder of brain
" Disorder of brain, unspecified ",Disorder of brain
Other disorders of brain in diseases classified elsewhere,Disorder of brain
Hydrocephalus in infectious and parasitic diseases classified elsewhere A00-B99 ,Hydrocephalus
Other disorders of central nervous system,Disorder of the central nervous system
" Disorders of meninges, NEC ",Disorder of meninges
Other specified disorders of central nervous system,Disorder of nervous system
Other diseases of spinal cord,Spinal cord disease
" Disorder of central nervous system, unspecified ",Disorder of the central nervous system
Syringomyelia and syringobulbia,Syringomyelia and syringobulbia
Other reaction to spinal and lumbar puncture,Reaction to spinal or lumbar puncture
Intracranial hypotension following ventricular shunting,Intracranial hypotension following ventricular shunting
" Cord compression, unspecified ",Spinal cord compression
Other postprocedural disorders of nervous system,Disorder of nervous system
" Postprocedural disorder of nervous system, unspecified ",Disorder of nervous system
" Other disorders of nervous system, NEC ",Disorder of nervous system
Other disorders of nervous system in diseases classified elsewhere,Disorder of nervous system
" Disease of spinal cord, unspecified ",Spinal cord disease
Myelopathy in diseases classified elsewhere,Myelopathy due to another disorder
Other specified disorders of nervous system in diseases classified elsewhere,Disorder of nervous system
Hordeolum and chalazion,Disorder of eyelid
Noninfectious dermatoses of eyelid,Noninfectious dermatosis of eyelid
Hordeolum externum,Blepharitis
" Inflammation of eyelid, unspecified ",Blepharitis
Hordeolum internum,Blepharitis
Other deep inflammation of eyelid,Blepharitis
Cicatricial entropion of eyelid,Entropion and trichiasis of eyelid
Senile entropion of eyelid,Entropion and trichiasis of eyelid
Chalazion,Chalazion
Spastic entropion of eyelid,Entropion and trichiasis of eyelid
Trichiasis without entropion of eyelid,Entropion and trichiasis of eyelid
Unspecified entropion of eyelid,Entropion and trichiasis of eyelid
Ectropion of eyelid,Ectropion
Blepharitis,Blepharitis
Senile ectropion of eyelid,Ectropion
Spastic ectropion of eyelid,Ectropion
Unspecified ectropion of eyelid,Ectropion
Mechanical lagophthalmos,Lagophthalmos
Paralytic lagophthalmos,Lagophthalmos
Unspecified ptosis of eyelid,Ptosis of eyelid
Ptosis of eyelid,Ptosis of eyelid
Retained foreign body in eyelid,Disorder of eyelid
Cysts of eyelid,Disorder of eyelid
Blepharophimosis,Disorder of eyelid
Dermatochalasis of eyelid,Disorder of eyelid
" Disorder of eyelid, unspecified ",Disorder of eyelid
Xanthelasma of eyelid,Xanthoma of eyelid
Parasitic infestation of eyelid in diseases classified elsewhere,Parasitic eyelid infestation
Other degenerative disorders of eyelid and periocular area,Degenerative disorder of eyelid
Involvement of eyelid in other diseases classified elsewhere,Dermatosis of eyelid
Epiphora,Epiphora
Dacryops,Disorder of lacrimal gland
Epiphora due to excess larcrimation,Epiphora
Epiphora due to insufficient drainage,Epiphora
Acute and unspecified inflammation of lacrimal passages,Acute dacryocystitis
Phlegmonous dacryocystitis,Acute dacryocystitis
Lacrimal cyst,Disorder of lacrimal gland
Acute macrimal canaliculitis,Acute dacryocystitis
Primary lacrimal gland strophy,Disorder of lacrimal gland
Unspecified daeryoadenitis,Acute dacryocystitis
Chronic inflammation of lacrimal passages,Chronic inflammation of lacrimal passages
Chronic dacryocystitis,Chronic inflammation of lacrimal passages
Chronic lacrimal canaliculitis,Chronic inflammation of lacrimal passages
Stenosis and insufficiency of lacrimal passages,Stenosis and insufficiency of lacrimal passages
Dacrolith,Stenosis and insufficiency of lacrimal passages
Eversion of lacrimal punctum,Stenosis and insufficiency of lacrimal passages
Neonatal obstruction of nasolacrimal duct,Stenosis and insufficiency of lacrimal passages
Other changes in lacrimal passages,Disorder of lacrimal passage
" Disorder of orbit, unspecified ",Disorder of orbit proper
Other changes in lacrimal passages,Disorder of lacrimal passage
Disorders of lacrimal system and orbit in diseases classified elsewhere,Disorder of eye region
Parasitic infestation of orbit in diseases classified elsewhere,Parasitic infestation of orbit
Dysthyroid exophthalmos E05- ,Thyrotoxic exophthalmos
Other disorders of orbit in diseases classified elsewhere,Disorder of orbit proper
Conjunctivitis,Conjunctivitis
Mucopurulent conjunctivits,Purulent conjunctivitis
Other mucopurulent conhunctivitis,Purulent conjunctivitis
Acute follicular conjunctivitis,Purulent conjunctivitis
" Conjunctivitis, unspecified ",Conjunctivitis
Amyloid pterygium,Pterygium
Central pterygium of eye,Pterygium
" Peripheral pterygium of eye, progressive ",Pterygium
Pseudomembranous conjunctivitis,Acute conjunctivitis
" Serous conjunctivitis, except viral ",Acute conjunctivitis
Conjunctival degenerations and deposits,Conjunctival degenerations and deposits
Conjunctival deposits,Conjunctival degenerations and deposits
Conjunctival xerosis NOS,Conjunctival degenerations and deposits
Pinguecula,Conjunctival degenerations and deposits
Chronic conjunctivitis,Chronic conjunctivitis
Unspecified conjunctival degenerations,Conjunctival degenerations and deposits
Conjunctival scars,Conjunctival scar
Conjunctival granuloma,Conjunctival scar
Symablepharon,Conjunctival scar
Scarring of conjunctiva,Conjunctival scar
Conjunctival hemorrhage,Conjunctival hemorrhage
Conjunctival cysts,Disorder of conjunctiva
Other specified disorders of conjunctiva,Disorder of conjunctiva
Conjunctivitis in other diseases classified elsewhere,Conjunctivitis
Disorders of conjunctiva in diseases classified elsewhere,Disorder of conjunctiva
Filarial infection of conjunctiva B74.- ,Filarial infection of conjunctiva
Scleritis with corneal involvement,Scleritis
Scleromalacia perforans,Scleritis
Brawny scleritis,Scleritis
Posterior scleritis,Scleritis
" scleritis, unspecified ",Scleritis
Localized anterior staphlyoma,Disorder of sclera
Staphyloma posticum,Disorder of sclera
Other disorders of sclera,Disorder of sclera
Episcleritis periodica fugax,Episcleritis
" Disorder of sclera, unspecified ",Disorder of sclera
Nodular episcleritis,Episcleritis
Unspecified episcleritis,Episcleritis
Corneal ulcer with hypopyon,Corneal ulcer
Marginal corneal ulcer,Corneal ulcer
Mooren ulcer,Corneal ulcer
Perforated corneal ulcer,Corneal ulcer
Macular keratitis,Superficial keratitis
Corneal ulcer NOS,Corneal ulcer
Punctate keratatitis,Superficial keratitis
Interstitial and deep keratitis,Interstitial and deep keratitis
Corneal neovascularization,Corneal neovascularization
Pannus corneal ,Corneal neovascularization
Keratoconjunctivitis,Keratoconjunctivitis
Localized neovasculasization of cornea,Corneal neovascularization
Deep neovascularization of cornea,Corneal neovascularization
Exposure keratoconjunctivitis,Keratoconjunctivitis
" Keratitis, unspecified ",Keratitis
" Keratoconjunctivitis sicca, not specified as Sjogren s ",Keratoconjunctivitis
Neurotrophic keratoconjunctivitis,Keratoconjunctivitis
Other corneal scars and opacity,Minor opacity of cornea
Other disorders of cornea,Disorder of cornea
Other specified disorders of cornea,Disorder of cornea
Disorders of sclera and cornea in diseases classified elsewhere,Disorder of eye
Scleritis and episcleritis in diseases classified elsewhere,Scleritis and episcleritis
Bullous keratopathy,Bullous keratopathy
Keratitis and keratoconjunctivitis in other diseases classified elsewhere,Keratitis
Other disorders of sclera and cornea diseases classified elsewhere,Disorder of eye
Iridocyclitis,Iridocyclitis
Recurrent acute iridocyclitis,Acute and subacute iridocyclitis
SECONDARY INFECTIOUS IRIDOCYCLITIS,Acute and subacute iridocyclitis
Hereditary corneal dystrophies,Hereditary corneal dystrophy
Keratoconus,Keratoconus
Chronic iridocyclitis,Chronic anterior uveitis
Lens-induced iridocyclitis,Lens-induced iridocyclitis
" Iridocyclitis, unspecified ",Iridocyclitis
Hyphaema,Hyphema
Other specified disorders of iris and ciliary body,Disorder of ciliary body
Other vascular disorders of iris and ciliary body,Iris and ciliary body vascular disorder
Degeneration of iris and ciliary body,Iris and ciliary body degeneration
" Disorder of iris and ciliary body, unspecified ",Disorder of ciliary body
" Senile incipient cataract, Unspecified side ",Incipient senile cataract
Senile nuclear cataract,Nuclear senile cataract
" Senile nuclear cataract, Right ",Nuclear senile cataract
Iridocyclitis in infectious and parasitic diseases classified elsewhere,Iridocyclitis
" Senile nuclear cataract, Left ",Nuclear senile cataract
" Senile cataract, morgagnian type ",Morgagnian cataract
" Senile cataract, morgagnian type, Right ",Morgagnian cataract
Senile cataract,Age-related cataract
" Senile cataract, morgagnian type, Left ",Morgagnian cataract
" Senile cataract, morgagnian type, Unspecified side ",Morgagnian cataract
Senile incipient cataract,Incipient senile cataract
Other senile cataract,Combined form of senile cataract
" Senile incipient cataract, Right ",Incipient senile cataract
" Other senile cataract, Unspecified side ",Combined form of senile cataract
" Infantile, juvenile and presenile cataract, Bilateral ",Nonsenile cataract
" Senile cataract, unspecified ",Age-related cataract
" Senile cataract, unspecified, Right ",Age-related cataract
" Infantile, juvenile and presenile cataract, Unspecified side ",Nonsenile cataract
" Senile cataract, unspecified, Bilateral ",Age-related cataract
" Traumatic cataract, Right ",Traumatic cataract
" Traumatic cataract, Left ",Traumatic cataract
" Cataract secondary to intraocular surgery, Left ",Cataract secondary to ocular disease
" Cataract secondary to intraocular surgery, Unspecified side ",Cataract secondary to ocular disease
Other complicated cataract,Cataract secondary to ocular disease
" Drug-induced cataract, Right ",Drug-induced cataract
" Drug-induced cataract, Unspecified side ",Drug-induced cataract
" After-cataract, Bilateral ",After-cataract
" Other specified cataract, Right ",Cataract
" Other specified cataract, Left ",Cataract
" Cataract in other endocrine, nutritional and metabolic diseases ",Cataract in systemic disorders
Other disorders of lens in diseases classified elsewhere,Disorder of lens
Chorioretinal inflammation,Chorioretinitis
Posterior cyclitis,Posterior cyclitis
Other chorioretinal inflammations,Chorioretinitis
Other chorioretinal disorders in diseases classified elsewhere,Choroidal and or chorioretinal disorder
Retinal detachment with retinal break,Rhegmatogenous retinal detachment
Retinal detachment with single break,Rhegmatogenous retinal detachment
Retinal detachment with retinal dialysis,Rhegmatogenous retinal detachment
Total retinal detachment,Rhegmatogenous retinal detachment
Other retinal detachments,Retinal detachment
Retinal vascular occlusions,Retinal vascular occlusion
Transient retinal artery occlusion,Transient arterial retinal occlusion
Other retinal artery occlusions,Retinal artery occlusion
Other retinal vascular occlusions,Retinal vascular occlusion
Other intraretinal microvascular abnormalities,Retinal vascular disorder
Background NOS retinopathy,Retinal vascular disorder
" Paving stone degeneration, retina ",Peripheral retinal degeneration
Age-related reticular degeneration of retina,Peripheral retinal degeneration
Secondary pigmentary degeneration,Peripheral retinal degeneration
Secondary citreoretinal degeneration,Peripheral retinal degeneration
Unspecified peripheral rtinal degeneration,Peripheral retinal degeneration
Hereditary retinal dystrophy,Hereditary retinal dystrophy
Dystrophies primarily involving the pigment epithelium,Hereditary retinal dystrophy
Retinal oedema,Retinal disorder
" Retinal disorder, unspecified ",Retinal disorder
Retinal disorders in diseases classified elsewhere,Retinal disorder
Glaucoma,Glaucoma
Primary open-angle glaucoma,Primary open angle glaucoma
" Pigmentary glaucoma, Unspecified side ",Primary open angle glaucoma
" Capsular glaucoma with pseudoexfoliation of lens, Right ",Primary open angle glaucoma
" Capsular glaucoma with pseudoexfoliation of lens, Unspecified side ",Primary open angle glaucoma
" Residual stage of open-angle glaucoma, Right ",Primary open angle glaucoma
" Residual stage of open-angle glaucoma, Left ",Primary open angle glaucoma
Intermittent angle-closure glaucoma,Primary angle-closure glaucoma
" Intermittent angle-closure glaucoma, Right ",Primary angle-closure glaucoma
" Intermittent angle-closure glaucoma, Unspecified side ",Primary angle-closure glaucoma
" Residual stage of angle-closure glaucoma, Right ",Primary angle-closure glaucoma
" Residual stage of angle-closure glaucoma, Left ",Primary angle-closure glaucoma
" Residual stage of angle-closure glaucoma, Bilateral ",Primary angle-closure glaucoma
" Glaucoma secondary to eye trauma, Bilateral ",Glaucoma associated with ocular trauma
" Glaucoma secondary to eye inflammation, Left ",Glaucoma associated with ocular inflammation
" Glaucoma secondary to eye inflammation, Unspecified side ",Glaucoma associated with ocular inflammation
" Glaucoma secondary to other eye disorders, Right ",Secondary glaucoma
" Glaucoma secondary to other eye disorders, Bilateral ",Secondary glaucoma
" Glaucoma secondary to drugs, Left ",Drug-induced glaucoma
" Glaucoma secondary to drugs, Bilateral ",Drug-induced glaucoma
" Glaucoma secondary to drugs, Unspecified side ",Drug-induced glaucoma
Glaucoma with increased episcleral venous pressure,Glaucoma
" Glaucoma with increased episcleral venous pressure, Unspecified side ",Glaucoma
" Hypersecretion glaucoma, Right ",Glaucoma
" Aqueous misdirection malignant glaucoma, Bilateral ",Glaucoma
" Other glaucoma, Left ",Glaucoma
Inflammatory polyneuropathy,Polyneuritis
Guillain-Barre syndrome,Guillain-Barr syndrome
" Cataract, unspecified, Unspecified side ",Cataract
Other disorders of lens,Disorder of lens
Aphakia,Aphakia
Cataract and other disorders of lens in diseases classified elsewhere,Disorder of lens
Hereditary choroidal dystrophy,Hereditary choroidal dystrophy
Choroidal hemorrhage and rupture,Choroidal hemorrhage and rupture
Other specified disorders of choroid,Disorder of choroid of eye
Unspecified retinal detachment with retinal break,Rhegmatogenous retinal detachment
Retinoschisis and retinal cysts,Retinoschisis and retinal cysts
Parasitic cyst of retina NOS,Retinoschisis and retinal cysts
Unspecified retinoschisis,Retinoschisis and retinal cysts
Retinal breaks without detachment,Retinal defect
Horseshoe tear of retina,Retinal defect
" Retinal vascular occlusion, unspecified ",Retinal vascular occlusion
Other retinal disorders,Retinal disorder
Background retinopathy and retinal vascular changes,Retinal vascular disorder
Hypertensive retinopathy,Retinal vascular disorder
Retinal neovascularization NOS,Retinal vascular disorder
Cyst of macula,Degeneration of macula and posterior pole
Drusen degenerative of macula,Degeneration of macula and posterior pole
Unspecified macular degeneration age-related ,Degeneration of macula and posterior pole
Peripheral retinal degeneration,Peripheral retinal degeneration
" Microcystoid degeneration, retina ",Peripheral retinal degeneration
Unspecified hereditary retinal dystrophy,Hereditary retinal dystrophy
Retinal hemorrhage,Retinal hemorrhage
Separation of retinal layers,Retinal detachment
Central serous chorioretinopathy,Retinal detachment
Other specified retianl disorders,Retinal disorder
Low-tension glaucoma,Primary open angle glaucoma
" Low-tension glaucoma, Right ",Primary open angle glaucoma
" Low-tension glaucoma, Left ",Primary open angle glaucoma
" Low-tension glaucoma, Unspecified side ",Primary open angle glaucoma
" Pigmentary glaucoma, Left ",Primary open angle glaucoma
" Pigmentary glaucoma, Bilateral ",Primary open angle glaucoma
" Residual stage of open-angle glaucoma, Unspecified side ",Primary open angle glaucoma
Unspecified primary open-angle glaucoma,Primary open angle glaucoma
" UNSPECIFIED PRIMARY OPEN-ANGLE GLAUCOMA, RIGHT ",Primary open angle glaucoma
" UNSPECIFIED PRIMARY OPEN-ANGLE GLAUCOMA, BILATERAL ",Primary open angle glaucoma
Acute angle-closure glaucoma,Primary angle-closure glaucoma
" Acute angle-closure glaucoma, Right ",Primary angle-closure glaucoma
" Acute angle-closure glaucoma, Left ",Primary angle-closure glaucoma
Chronic angle-closure glaucoma,Primary angle-closure glaucoma
" Chronic angle-closure glaucoma, Right ",Primary angle-closure glaucoma
" Chronic angle-closure glaucoma, Unspecified side ",Primary angle-closure glaucoma
" Residual stage of angle-closure glaucoma, Unspecified side ",Primary angle-closure glaucoma
Unspecified primary angle-closure glaucoma,Primary angle-closure glaucoma
" Unspecified primary angle-closure glaucoma, Unspecified side ",Primary angle-closure glaucoma
" Glaucoma secondary to eye trauma, Right ",Glaucoma associated with ocular trauma
" Glaucoma secondary to eye trauma, Left ",Glaucoma associated with ocular trauma
Retrobulbar neuritis in diseases classified elsewhere,Retrobulbar neuritis
Sixth abducent nerve palsy,Abducens nerve palsy
Monocular esotropia with other concomitancies,Esotropia
" Alternating esotropia, unspecified ",Esotropia
Alternating esotropia with A pattern,Esotropia
Divergent concomitant strabismus,Divergent concomitant strabismus
Monocular exotropia with A pattern,Divergent concomitant strabismus
Hypotropia,Manifest vertical squint
Intermittent heterotropia,Intermittent tropia
Intermittent alternating esotropia,Intermittent tropia
Intermittent alternating exotropia,Intermittent tropia
Alternating hyperphoria,Phoria
Brown s sheath syndrome,Mechanical strabismus
Other mechanical strabismus,Mechanical strabismus
Regular astigmatism,Astigmatism
Anisometropia and aniseikonia,Anisometropia and aniseikonia
Presbyopia ,Presbyopia
Refractive amblyopia,Stimulus deprivation amblyopia
Unspecified amblyopia,Stimulus deprivation amblyopia
Day blindness,Subjective visual disturbance
Sudden visual loss,Subjective visual disturbance
Visual discomfort,Subjective visual disturbance
Hemianymous bilateral field defects,Visual field defect
Night blindness,Night blindness
Other visual disturbances,Visual disturbance
Visual impairment including blindness binocular or monocular ,Visual impairment
" Blindness, binocular ",Blindness - both eyes
" Severe visual impairment, binocular "," Impairment level: blindness, one eye - low vision other eye "
" Blindness, monocular "," Profound impairment, one eye "
Nystagmus and other irregular eye movements,Nystagmus and other irregular eye movements
Other disorders of eye and adnexa,Disorder of eye
Other specified disorders of eye and adnexa,Disorder of eye
" Disorder of eye and adnexa, unspecified ",Disorder of eye
Other disorders of eye and adnexa in diseases classified elsewhere,Disorder of eye region
Visual disturbances in diseases classified elsewhere,Visual disturbance
Other specified disorders of eye and adnexa in diseases classified elsewhere,Disorder of eye
Other postprocedural disorders of eye and adnexa,Visual system complication of procedure
" Postprocedural disorder of eye and adnexa, unspecified ",Visual system complication of procedure
Otitis externa,Otitis externa
Abscess of external ear,Abscess of external ear
Boil of external ear,Abscess of external ear
Malignant otitis externa,Malignant otitis externa
Other infective otitis externa,Infective otitis externa
Diffuse otitis externa,Infective otitis externa
Swimmer s ear,Infective otitis externa
Other infective otitis externa,Infective otitis externa
" Acute otitis externa, noninfective ",Acute otitis externa
Chemical acute otitis externa,Acute otitis externa
Contact acute otitis externa,Acute otitis externa
Reactive acute otitis externa,Acute otitis externa
Other acute noninfective otitis externa,Acute otitis externa
Chronic perichondritis,Perichondritis of pinna
Acquired deformity of pinna,Non-infectious pinna disorders
Hematoma of pinna,Non-infectious pinna disorders
Other noninefective disorders of pinna,Non-infectious pinna disorders
Impacted cerumen,Impacted cerumen
Acquired stenosis of external ear canal secondary to trauma,Acquired stenosis of external ear canal
Acquired stenosis of external ear canal secondary to inflammation and infection,Acquired stenosis of external ear canal
Other asquired stenosis of external ear canal,Acquired stenosis of external ear canal
" Acquired stenosis of external ear canal, unspecified ",Acquired stenosis of external ear canal
Other specified disorders of external ear,Disorder of external ear
" Other glaucoma, Unspecified side ",Glaucoma
" Glaucoma, unspecified, Left ",Glaucoma
" Glaucoma, unspecified, Bilateral ",Glaucoma
" Glaucoma in endocrine, nutritional and metabolic diseases "," Glaucoma in endocrine, nutritional and metabolic diseases "
Glaucoma in other diseases classified elsewhere,Glaucoma associated with systemic syndromes
Disorders of vitreous body,Disorder of vitreous body
Vitreous prolapse,Vitreous prolapse
Vitreous hemorrhage,Vitreous hemorrhage
Vitreous membranes and strands,Vitreous opacities
Other vitreous opacities,Vitreous opacities
Other disorders of vutreous body,Disorder of vitreous body
" Disorder of vitreous body, unspecified ",Disorder of vitreous body
Disorders of globe,Disorder of eye
Other endophthalmitis,Endophthalmitis
Other degenerative disorders of globe,Degenerative disorder of eye
Degenerated conditions of globe,Degenerated eye
" Retained old intraocular foreign body, magnetic ",Retained magnetic intraocular foreign body
" Retained old intraocular foreign body, nonmagnetic ",Retained old traumatic intraocular foreign body
Other disorders of globe,Disorder of eye
" Disorder of globe, unspecified ",Disorder of eye
Endophthalmitis in diseases classified elsewhere,Endophthalmitis
Optic neuritis,Optic neuritis
" Papilledema, unspecified ",Papilledema - optic disc edema due to raised intracranial pressure
Disorders of other visual pathways,Disorder of visual pathways
Total external ophthalmoplegia,Total ophthalmoplegia
Progressive external ophthalmoplegia,Progressive external ophthalmoplegia
" Paralytic strabismus, unspecified ",Paralytic strabismus
Other strabismus,Strabismus
" Monocular esotropia, unspecified ",Esotropia
Monocular esotropia with A pattern,Esotropia
Monocular esotropia with V pattern,Esotropia
Monocular exotropia with other concomitancies,Divergent concomitant strabismus
Monocular exotropia with other concomitancies,Divergent concomitant strabismus
Vertical strabismus,Manifest vertical squint
Other and unspecified heterotropia,Strabismus
Cyclophoria,Phoria
Other disorders of binocular movement,Disorder of eye movements
Palsy of conjugate gaze,Palsy of conjugate gaze
Disorders of refraction and accommodation,Disorder of refraction AND OR accommodation
Hypermetropia,Hypermetropia
Paresis of accommodation,Disorder of accommodation
" Disorder of refraction ,unspecified ",Disorder of refraction
Visual disturbances,Visual disturbance
Deprivation amblyopia,Stimulus deprivation amblyopia
Diplopia,Diplopia
Other specified disorders of external ear,Disorder of external ear
Disorders of external ear in diseases classified elsewhere,Disorder of external ear
Otitis externa in bacterial diseases classified elsewhere,Infective otitis externa
Otitis externa in mycoses,Otomycosis
Otitis externa in other infectious and parasitic diseases classified elsewhere,Infective otitis externa
Otitis externa in other diseases classified elsewhere,Otitis externa
Nonsuppurative otitis media,Non-suppurative otitis media
" Acute serous otitis media, unilateral or unspecified ",Acute serous otitis media
" Acute serous otitis media, bilateral ",Acute serous otitis media
" Recurrent acute serous otitis media, unilateral or unspecified ",Acute serous otitis media
